title,current price,full day fee,fluctuation rate,face value,market cap,number of listed shares,foreigner ratio,trading volume,PER,ROE
한올바이오파마,"22,100",900,-3.91%,500,"52,241","11,545",5.55,"613,967","4,420.00",0.15
KG스틸,"11,410",200,-1.72%,"5,000","100,009","11,411",3.00,"2,665,064",2.13,37.73
한샘,"48,400",100,+0.21%,"1,000","23,534","11,390",13.12,"24,611",-15.97,-13.37
일진하이솔루스,"31,150",900,-2.81%,500,"36,313","11,312",2.13,"102,209",160.57,2.27
대덕전자,"22,800",450,-1.94%,500,"49,417","11,267",14.14,"370,610",6.39,23.94
현대건설기계,"56,700","1,100",-1.90%,"5,000","19,701","11,170",24.68,"97,043",10.02,7.99
솔루엠,"22,300",50,+0.22%,500,"50,006","11,151",12.97,"347,568",23.57,16.93
SK가스,"120,500",800,-0.66%,"5,000","9,230","11,122",5.22,"6,652",4.33,11.53
KODEX Top5PlusTR,"16,225",170,-1.04%,0,"68,500","11,114",12.41,513,N/A,N/A
DL,"52,200",500,+0.97%,"5,000","20,956","10,939",11.46,"57,209",19.48,1.52
종근당,"85,500",200,-0.23%,"2,500","12,568","10,746",8.11,"22,082",13.27,13.62
대한유화,"164,500","3,800",-2.26%,"5,000","6,500","10,692",6.13,"33,903",-7.17,-7.66
영풍,"580,000","6,000",-1.02%,"5,000","1,842","10,684",5.76,"1,904",2.91,9.96
TIGER TOP10,"11,115",80,-0.71%,0,"96,100","10,682",12.18,"73,267",N/A,N/A
코리안리,"7,580",220,+2.99%,500,"140,823","10,674",29.73,"208,186",6.76,5.91
명신산업,"19,890",660,-3.21%,500,"52,470","10,436",4.60,"604,264",12.17,25.18
신풍제약,"19,570",380,-1.90%,500,"52,985","10,369",5.87,"334,329",-30.53,-10.27
오리온홀딩스,"16,440",290,-1.73%,500,"62,645","10,299",6.75,"66,849",10.00,4.83
율촌화학,"41,150",250,-0.60%,500,"24,800","10,205",8.77,"55,890",-246.41,-1.22
한국콜마,"44,250","1,650",+3.87%,500,"22,881","10,125",26.47,"254,853",-46.05,-3.26
PI첨단소재,"34,400",800,-2.27%,500,"29,366","10,102",5.92,"131,758",22.09,13.70
롯데웰푸드,"106,700","1,700",-1.57%,500,"9,435","10,067",13.20,"13,923",17.99,2.89
더존비즈온,"32,800",550,-1.65%,500,"30,383","9,966",18.90,"86,140",43.33,5.15
TIGER 단기통안채,"103,155",5,0.00%,0,"9,622","9,926",1.47,"930,910",N/A,N/A
아시아나항공,"13,240",20,+0.15%,"5,000","74,412","9,852",7.44,"273,174",8.92,18.48
SK리츠,"5,000",5,+0.10%,500,"196,554","9,828",6.04,"157,109",263.16,0.43
F&F홀딩스,"25,050",200,-0.79%,500,"39,114","9,798",0.58,"120,099",7.41,6.64
NHN,"27,000",50,+0.19%,500,"36,017","9,725",13.11,"28,349",-31.07,-1.82
롯데렌탈,"26,450",300,-1.12%,"5,000","36,634","9,690",3.66,"60,368",10.26,7.48
TKG휴켐스,"23,400",450,+1.96%,"1,000","40,879","9,566",6.71,"464,790",11.69,11.37
하나투어,"58,400",400,+0.69%,500,"16,039","9,367",6.75,"121,109",-13.36,-64.01
다우기술,"20,750",100,-0.48%,500,"44,867","9,310",24.17,"58,605",2.50,17.36
코스맥스,"81,100","3,900",+5.05%,500,"11,350","9,204",24.99,"141,811",44.15,3.65
KODEX 코스닥150레버리지,"11,985",115,-0.95%,0,"76,000","9,109",1.85,"11,342,616",N/A,N/A
한일시멘트,"13,110",170,-1.28%,500,"69,262","9,080",2.53,"60,585",11.52,5.59
대웅,"15,440",80,+0.52%,500,"58,142","8,977",5.15,"83,860",8.75,13.17
세방,"46,400",400,-0.85%,500,"19,309","8,959",12.06,"57,065",10.12,11.12
롯데관광개발,"12,100",350,+2.98%,500,"73,763","8,925",4.81,"650,549",-3.86,-154.22
